#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 10 13 13 00  MM  0.0  0.0    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 13 12 00  MM  0.0  0.0    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 13 11 00  MM  0.0  0.5    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 13 10 00 100  2.1  2.6    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 13 09 00 170  1.0  1.5    MM    MM    MM  MM     MM  12.9    MM    MM   MM   MM    MM
2024 10 13 08 00 260  2.1  2.6    MM    MM    MM  MM     MM  12.8    MM    MM   MM   MM    MM
2024 10 13 07 00 110  2.1  2.6    MM    MM    MM  MM     MM  14.2    MM    MM   MM   MM    MM
2024 10 13 06 00 170  2.6  3.1    MM    MM    MM  MM     MM  12.9    MM    MM   MM   MM    MM
2024 10 13 05 00 190  4.1  4.6    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 13 04 00 200  3.1  3.6    MM    MM    MM  MM     MM  13.1    MM    MM   MM   MM    MM
2024 10 13 03 00 190  3.1  3.6    MM    MM    MM  MM     MM  13.3    MM    MM   MM   MM    MM
2024 10 13 02 00 190  3.6  4.1    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 13 01 00 190  2.6  3.1    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 13 00 00 190  6.7  7.7    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 12 23 00 190  6.2  7.2    MM    MM    MM  MM     MM  13.7    MM    MM   MM   MM    MM
2024 10 12 22 00 200  4.6  5.1    MM    MM    MM  MM     MM  15.2    MM    MM   MM   MM    MM
2024 10 12 21 00 200  4.1  5.7    MM    MM    MM  MM     MM  16.3    MM    MM   MM   MM    MM
2024 10 12 20 00 200  2.1  2.6    MM    MM    MM  MM     MM  15.8    MM    MM   MM   MM    MM
2024 10 12 19 00 240  3.6  4.6    MM    MM    MM  MM     MM  16.0    MM    MM   MM   MM    MM
2024 10 12 18 00 200  1.5  2.1    MM    MM    MM  MM     MM  17.1    MM    MM   MM   MM    MM
2024 10 12 17 00 180  1.0  1.0    MM    MM    MM  MM     MM  15.0    MM    MM   MM   MM    MM
2024 10 12 16 00  40  0.5  1.5    MM    MM    MM  MM     MM  13.3    MM    MM   MM   MM    MM
2024 10 12 15 00 210  1.5  2.1    MM    MM    MM  MM     MM  14.4    MM    MM   MM   MM    MM
2024 10 12 14 00  90  3.6  4.1    MM    MM    MM  MM     MM  14.7    MM    MM   MM   MM    MM
2024 10 12 13 00  80  4.6  5.1    MM    MM    MM  MM     MM  14.3    MM    MM   MM   MM    MM
2024 10 12 12 00  80  4.6  5.7    MM    MM    MM  MM     MM  14.0    MM    MM   MM   MM    MM
2024 10 12 11 00  80  5.1  6.2    MM    MM    MM  MM     MM  13.9    MM    MM   MM   MM    MM
2024 10 12 10 00  90  5.1  6.2    MM    MM    MM  MM     MM  13.5    MM    MM   MM   MM    MM
2024 10 12 09 00  90  4.1  5.7    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 12 08 00  50  3.1  3.6    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 12 07 00  60  3.1  3.1    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 12 06 00  70  3.1  3.1    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2024 10 12 05 00  90  3.6  3.6    MM    MM    MM  MM     MM  13.3    MM    MM   MM   MM    MM
2024 10 12 04 00 110  1.0  1.0    MM    MM    MM  MM     MM  13.4    MM    MM   MM   MM    MM
2024 10 12 03 00  70  2.1  2.1    MM    MM    MM  MM     MM  13.4    MM    MM   MM   MM    MM
2024 10 12 02 00 180  2.1  2.1    MM    MM    MM  MM     MM  12.6    MM    MM   MM   MM    MM
2024 10 12 01 00 180  2.6  3.1    MM    MM    MM  MM     MM  13.3    MM    MM   MM   MM    MM
2024 10 12 00 00 190  4.6  5.7    MM    MM    MM  MM     MM  13.3    MM    MM   MM   MM    MM
2024 10 11 23 00 190  9.3 10.3    MM    MM    MM  MM     MM  14.8    MM    MM   MM   MM    MM
2024 10 11 22 00 190  5.1  6.7    MM    MM    MM  MM     MM  14.4    MM    MM   MM   MM    MM
2024 10 11 21 00 200  4.1  4.6    MM    MM    MM  MM     MM  13.4    MM    MM   MM   MM    MM
2024 10 11 20 00 240  2.6  2.6    MM    MM    MM  MM     MM  15.0    MM    MM   MM   MM    MM
2024 10 11 19 00  70  2.1  2.6    MM    MM    MM  MM     MM  15.3    MM    MM   MM   MM    MM
2024 10 11 18 00  30  1.0  1.0    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 11 17 00 210  1.5  2.1    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 11 16 00 180  0.5  1.5    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
2024 10 11 15 00  MM  0.0  0.0    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 11 14 00  MM  0.0  0.0    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 11 13 00 180  1.0  1.5    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2024 10 11 12 00  MM  0.0  0.5    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2024 10 11 11 00  70  1.5  1.5    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2024 10 11 10 00 180  2.6  3.1    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2024 10 11 09 00  90  4.1  5.1    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 11 08 00  80  4.1  4.1    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 11 07 00  90  3.1  3.6    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 11 06 00  80  0.5  1.0    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
2024 10 11 05 00  20  1.0  1.0    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2024 10 11 04 00  30  2.6  2.6    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 11 03 00  MM  0.0  0.5    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 11 02 00 350  3.6  4.1    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 11 01 00 350  5.7  6.2    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 11 00 00 340  7.2  7.7    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 10 23 00 340  7.2  7.7    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 10 22 00 340  6.2  7.2    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2024 10 10 21 00 350  6.7  7.7    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
2024 10 10 20 00 330  4.1  4.6    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
2024 10 10 19 00 340  3.1  3.1    MM    MM    MM  MM     MM  10.4    MM    MM   MM   MM    MM
2024 10 10 18 00 340  1.5  2.1    MM    MM    MM  MM     MM  10.3    MM    MM   MM   MM    MM
2024 10 10 17 00  70  2.6  3.6    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 10 16 00  50  3.1  3.1    MM    MM    MM  MM     MM   8.7    MM    MM   MM   MM    MM
2024 10 10 15 00  70  3.1  3.6    MM    MM    MM  MM     MM   8.0    MM    MM   MM   MM    MM
2024 10 10 14 00  50  2.1  2.6    MM    MM    MM  MM     MM   7.8    MM    MM   MM   MM    MM
2024 10 10 13 00  80  3.1  4.1    MM    MM    MM  MM     MM   7.8    MM    MM   MM   MM    MM
2024 10 10 12 00  80  3.6  4.6    MM    MM    MM  MM     MM   7.9    MM    MM   MM   MM    MM
2024 10 10 11 00  60  3.6  4.1    MM    MM    MM  MM     MM   8.5    MM    MM   MM   MM    MM
2024 10 10 10 00  90  4.1  4.6    MM    MM    MM  MM     MM   8.7    MM    MM   MM   MM    MM
2024 10 10 09 00  80  3.1  3.6    MM    MM    MM  MM     MM   9.1    MM    MM   MM   MM    MM
2024 10 10 08 00  70  2.6  3.1    MM    MM    MM  MM     MM   9.2    MM    MM   MM   MM    MM
2024 10 10 07 00  60  2.1  2.6    MM    MM    MM  MM     MM   9.6    MM    MM   MM   MM    MM
2024 10 10 06 00  60  2.1  2.1    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2024 10 10 05 00  40  1.0  1.0    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
2024 10 10 04 00 340  0.5  1.0    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2024 10 10 03 00 330  1.0  1.0    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
2024 10 10 02 00 360  3.1  3.1    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 10 01 00 340  2.6  3.1    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 10 00 00 320  2.6  3.1    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 09 23 00 340  3.1  3.6    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 09 22 00 330  3.6  3.6    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 09 21 00 320  3.1  3.6    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2024 10 09 20 00 320  2.6  2.6    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2024 10 09 19 00  10  1.0  1.5    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2024 10 09 18 00 320  1.5  2.1    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
2024 10 09 17 00 310  2.1  2.1    MM    MM    MM  MM     MM  10.9    MM    MM   MM   MM    MM
2024 10 09 16 00 340  1.0  1.0    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 09 15 00 350  1.5  2.6    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2024 10 09 14 00 340  2.1  2.6    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2024 10 09 13 00 290  0.5  1.0    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 09 12 00 270  0.5  0.5    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 09 11 00 210  1.5  2.1    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2024 10 09 10 00 190  2.1  2.6    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 09 09 00 190  2.1  2.1    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 09 08 00  MM  0.0  0.0    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 09 07 00 190  2.6  3.1    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 09 06 00 190  1.5  2.1    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2024 10 09 05 00 190  1.0  1.5    MM    MM    MM  MM     MM  12.4    MM    MM   MM   MM    MM
2024 10 09 04 00 200  0.5  1.0    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2024 10 09 03 00 180  1.5  2.1    MM    MM    MM  MM     MM  12.5    MM    MM   MM   MM    MM
2024 10 09 02 00 180  3.1  3.6    MM    MM    MM  MM     MM  12.6    MM    MM   MM   MM    MM
2024 10 09 01 00 190  3.1  3.1    MM    MM    MM  MM     MM  12.6    MM    MM   MM   MM    MM
2024 10 09 00 00 190  3.1  4.1    MM    MM    MM  MM     MM  12.8    MM    MM   MM   MM    MM
2024 10 08 23 00 200  3.1  3.6    MM    MM    MM  MM     MM  13.3    MM    MM   MM   MM    MM
2024 10 08 22 00 200  3.6  4.1    MM    MM    MM  MM     MM  13.3    MM    MM   MM   MM    MM
2024 10 08 21 00 190  3.1  4.1    MM    MM    MM  MM     MM  13.7    MM    MM   MM   MM    MM
2024 10 08 20 00 180  4.1  4.6    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 08 19 00  MM  0.0  0.0    MM    MM    MM  MM     MM  14.3    MM    MM   MM   MM    MM
2024 10 08 18 00 210  2.1  2.6    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 08 17 00  MM  0.0  0.5    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 08 16 00  MM  0.0  0.5    MM    MM    MM  MM     MM  12.6    MM    MM   MM   MM    MM
2024 10 08 15 00 100  1.0  1.5    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 08 14 00  70  2.1  2.1    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 08 13 00 110  1.5  2.1    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 08 12 00  90  2.1  2.6    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 08 11 00 100  3.1  4.6    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 08 10 00  90  2.6  3.1    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 08 09 00 120  1.0  1.5    MM    MM    MM  MM     MM  12.0    MM    MM   MM   MM    MM
2024 10 08 08 00 160  2.1  3.1    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 08 07 00 190  4.1  4.6    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2024 10 08 06 00 200  3.6  3.6    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2024 10 08 05 00 160  1.0  1.0    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2024 10 08 04 00 150  2.1  2.1    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 08 03 00 180  3.1  3.6    MM    MM    MM  MM     MM  11.7    MM    MM   MM   MM    MM
2024 10 08 02 00 180  2.1  2.1    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2024 10 08 01 00 180  2.6  3.1    MM    MM    MM  MM     MM  12.2    MM    MM   MM   MM    MM
2024 10 08 00 00 190  2.1  2.6    MM    MM    MM  MM     MM  14.9    MM    MM   MM   MM    MM
2024 10 07 23 00 220  0.5  1.5    MM    MM    MM  MM     MM  15.1    MM    MM   MM   MM    MM
2024 10 07 22 00 340  5.1  6.2    MM    MM    MM  MM     MM  13.2    MM    MM   MM   MM    MM
2024 10 07 21 00 340  3.6  4.1    MM    MM    MM  MM     MM  14.8    MM    MM   MM   MM    MM
2024 10 07 20 00 340  2.6  3.1    MM    MM    MM  MM     MM    MM    MM    MM   MM   MM    MM
2024 10 07 19 00  80  4.1  5.1    MM    MM    MM  MM     MM  22.7    MM    MM   MM   MM    MM
2024 10 07 18 00  80  4.6  5.7    MM    MM    MM  MM     MM  20.2    MM    MM   MM   MM    MM
2024 10 07 17 00  80  3.6  5.7    MM    MM    MM  MM     MM  17.7    MM    MM   MM   MM    MM
2024 10 07 16 00  70  4.1  5.1    MM    MM    MM  MM     MM  15.6    MM    MM   MM   MM    MM
2024 10 07 15 00  90  4.6  5.7    MM    MM    MM  MM     MM  14.1    MM    MM   MM   MM    MM
2024 10 07 14 00  90  2.6  3.1    MM    MM    MM  MM     MM  13.9    MM    MM   MM   MM    MM
2024 10 07 13 00  90  2.1  3.1    MM    MM    MM  MM     MM  13.9    MM    MM   MM   MM    MM
2024 10 07 12 00  80  4.6  6.2    MM    MM    MM  MM     MM  14.0    MM    MM   MM   MM    MM
2024 10 07 11 00  80  5.1  6.2    MM    MM    MM  MM     MM  13.6    MM    MM   MM   MM    MM
2024 10 07 10 00  90  4.1  5.1    MM    MM    MM  MM     MM  12.9    MM    MM   MM   MM    MM
2024 10 07 09 00  30  2.6  2.6    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
2024 10 07 08 00  40  1.5  1.5    MM    MM    MM  MM     MM  10.5    MM    MM   MM   MM    MM
2024 10 07 07 00  60  1.5  2.1    MM    MM    MM  MM     MM  10.5    MM    MM   MM   MM    MM
2024 10 07 06 00  MM  0.0  0.5    MM    MM    MM  MM     MM  10.3    MM    MM   MM   MM    MM
2024 10 07 05 00  60  0.5  1.0    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2024 10 07 04 00 360  3.6  4.1    MM    MM    MM  MM     MM  10.4    MM    MM   MM   MM    MM
2024 10 07 03 00 350  4.1  4.6    MM    MM    MM  MM     MM  10.7    MM    MM   MM   MM    MM
2024 10 07 02 00 350  5.1  5.7    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
2024 10 07 01 00 350  7.2  8.2    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
2024 10 07 00 00 340  6.7  7.7    MM    MM    MM  MM     MM  10.5    MM    MM   MM   MM    MM
2024 10 06 23 00 340  6.2  7.2    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 06 22 00 340  6.7  7.2    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2024 10 06 21 00 340  6.2  6.7    MM    MM    MM  MM     MM   9.7    MM    MM   MM   MM    MM
2024 10 06 20 00 330  4.1  4.6    MM    MM    MM  MM     MM   9.8    MM    MM   MM   MM    MM
2024 10 06 19 00 330  4.1  4.6    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 06 18 00  60  1.5  2.1    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 06 17 00  50  2.1  2.6    MM    MM    MM  MM     MM  10.7    MM    MM   MM   MM    MM
2024 10 06 16 00 100  1.5  2.1    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
2024 10 06 15 00  80  2.1  2.6    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 06 14 00  80  2.1  3.1    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 06 13 00  60  2.1  2.1    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2024 10 06 12 00  60  2.1  2.1    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2024 10 06 11 00  80  1.5  2.1    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2024 10 06 10 00  60  1.5  1.5    MM    MM    MM  MM     MM   9.3    MM    MM   MM   MM    MM
2024 10 06 09 00  MM  0.0  0.5    MM    MM    MM  MM     MM   9.8    MM    MM   MM   MM    MM
2024 10 06 08 00 130  0.5  1.0    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2024 10 06 07 00  80  0.5  0.5    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2024 10 06 06 00 180  1.0  1.0    MM    MM    MM  MM     MM  10.7    MM    MM   MM   MM    MM
2024 10 06 05 00  90  1.5  2.1    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 06 04 00  50  1.0  1.5    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
2024 10 06 03 00 360  3.1  3.6    MM    MM    MM  MM     MM  11.1    MM    MM   MM   MM    MM
2024 10 06 02 00 350  5.1  5.7    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 06 01 00 350  7.7  8.2    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 06 00 00 350  9.3 10.3    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 05 23 00 340  7.2  8.2    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 05 22 00 340  6.7  7.2    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 05 21 00 340  6.2  7.2    MM    MM    MM  MM     MM  11.8    MM    MM   MM   MM    MM
2024 10 05 20 00 350  4.6  5.7    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 05 19 00 350  4.6  5.7    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 05 18 00  50  4.1  4.6    MM    MM    MM  MM     MM  15.0    MM    MM   MM   MM    MM
2024 10 05 17 00  60  3.6  4.6    MM    MM    MM  MM     MM  13.9    MM    MM   MM   MM    MM
2024 10 05 16 00  80  5.1  6.2    MM    MM    MM  MM     MM  11.9    MM    MM   MM   MM    MM
2024 10 05 15 00  70  4.1  5.1    MM    MM    MM  MM     MM  10.4    MM    MM   MM   MM    MM
2024 10 05 14 00  80  3.6  4.6    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2024 10 05 13 00  70  4.1  4.6    MM    MM    MM  MM     MM   9.8    MM    MM   MM   MM    MM
2024 10 05 12 00  70  4.1  5.1    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2024 10 05 11 00  50  3.6  4.1    MM    MM    MM  MM     MM  10.1    MM    MM   MM   MM    MM
2024 10 05 10 00  80  3.6  4.6    MM    MM    MM  MM     MM  10.3    MM    MM   MM   MM    MM
2024 10 05 09 00  90  3.1  3.6    MM    MM    MM  MM     MM  10.5    MM    MM   MM   MM    MM
2024 10 05 08 00  80  4.1  5.1    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2024 10 05 07 00  90  3.6  4.1    MM    MM    MM  MM     MM  10.0    MM    MM   MM   MM    MM
2024 10 05 06 00  80  3.1  3.6    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 05 05 00  80  2.6  3.1    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 05 04 00  90  2.1  2.6    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
2024 10 05 03 00 130  1.5  1.5    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 05 02 00  MM  0.0  0.5    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 05 01 00  MM  0.0  0.0    MM    MM    MM  MM     MM  13.8    MM    MM   MM   MM    MM
2024 10 05 00 00 200  2.1  2.6    MM    MM    MM  MM     MM  13.6    MM    MM   MM   MM    MM
2024 10 04 23 00 200  2.6  3.1    MM    MM    MM  MM     MM  13.1    MM    MM   MM   MM    MM
2024 10 04 22 00 190  2.6  3.6    MM    MM    MM  MM     MM  12.9    MM    MM   MM   MM    MM
2024 10 04 21 00 190  5.1  6.2    MM    MM    MM  MM     MM  11.5    MM    MM   MM   MM    MM
2024 10 04 20 00 190  6.2  6.7    MM    MM    MM  MM     MM  12.1    MM    MM   MM   MM    MM
2024 10 04 19 00 190  5.1  6.2    MM    MM    MM  MM     MM  12.7    MM    MM   MM   MM    MM
2024 10 04 18 00 190  4.1  5.1    MM    MM    MM  MM     MM  11.3    MM    MM   MM   MM    MM
2024 10 04 17 00 190  5.7  6.7    MM    MM    MM  MM     MM  10.5    MM    MM   MM   MM    MM
2024 10 04 16 00 180  3.6  4.6    MM    MM    MM  MM     MM  11.0    MM    MM   MM   MM    MM
2024 10 04 15 00  10  0.5  1.0    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 04 14 00 130  0.5  1.5    MM    MM    MM  MM     MM  10.4    MM    MM   MM   MM    MM
2024 10 04 13 00 160  2.6  3.1    MM    MM    MM  MM     MM   8.9    MM    MM   MM   MM    MM
2024 10 04 12 00  70  1.0  1.5    MM    MM    MM  MM     MM   7.6    MM    MM   MM   MM    MM
2024 10 04 11 00 120  0.5  0.5    MM    MM    MM  MM     MM   8.0    MM    MM   MM   MM    MM
2024 10 04 10 00 100  3.1  3.6    MM    MM    MM  MM     MM   8.0    MM    MM   MM   MM    MM
2024 10 04 09 00  90  2.1  2.6    MM    MM    MM  MM     MM   8.3    MM    MM   MM   MM    MM
2024 10 04 08 00  MM  0.0  0.5    MM    MM    MM  MM     MM   9.1    MM    MM   MM   MM    MM
2024 10 04 07 00  80  1.5  1.5    MM    MM    MM  MM     MM   8.7    MM    MM   MM   MM    MM
2024 10 04 06 00  70  2.1  2.1    MM    MM    MM  MM     MM   9.3    MM    MM   MM   MM    MM
2024 10 04 05 00  70  1.0  1.0    MM    MM    MM  MM     MM   9.3    MM    MM   MM   MM    MM
2024 10 04 04 00  MM  0.0  0.5    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2024 10 04 03 00 300  1.0  1.0    MM    MM    MM  MM     MM  10.6    MM    MM   MM   MM    MM
2024 10 04 02 00 180  1.5  2.1    MM    MM    MM  MM     MM  10.8    MM    MM   MM   MM    MM
2024 10 04 01 00 300  1.5  2.6    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 04 00 00 290  1.0  1.5    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 03 23 00 320  4.6  5.1    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 03 22 00 350  5.7  6.7    MM    MM    MM  MM     MM  11.6    MM    MM   MM   MM    MM
2024 10 03 21 00 350  6.2  7.2    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 03 20 00 350  5.1  5.7    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
2024 10 03 19 00 340  4.6  5.1    MM    MM    MM  MM     MM  10.4    MM    MM   MM   MM    MM
2024 10 03 18 00 340  3.6  4.1    MM    MM    MM  MM     MM  10.3    MM    MM   MM   MM    MM
2024 10 03 17 00 330  3.1  3.1    MM    MM    MM  MM     MM  11.4    MM    MM   MM   MM    MM
2024 10 03 16 00  70  4.1  4.6    MM    MM    MM  MM     MM  12.3    MM    MM   MM   MM    MM
2024 10 03 15 00  MM  0.0  1.0    MM    MM    MM  MM     MM  10.2    MM    MM   MM   MM    MM
2024 10 03 14 00  70  2.6  3.1    MM    MM    MM  MM     MM   9.5    MM    MM   MM   MM    MM
2024 10 03 13 00  70  4.1  4.6    MM    MM    MM  MM     MM   9.0    MM    MM   MM   MM    MM
2024 10 03 12 00  80  3.1  3.6    MM    MM    MM  MM     MM   8.1    MM    MM   MM   MM    MM
2024 10 03 11 00  20  2.1  2.6    MM    MM    MM  MM     MM   8.4    MM    MM   MM   MM    MM
2024 10 03 10 00  30  2.1  2.6    MM    MM    MM  MM     MM   8.9    MM    MM   MM   MM    MM
2024 10 03 09 00  60  1.5  1.5    MM    MM    MM  MM     MM   8.6    MM    MM   MM   MM    MM
2024 10 03 08 00 350  1.0  1.5    MM    MM    MM  MM     MM   8.9    MM    MM   MM   MM    MM
2024 10 03 07 00 340  1.0  1.5    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2024 10 03 06 00  10  1.0  1.0    MM    MM    MM  MM     MM   9.4    MM    MM   MM   MM    MM
2024 10 03 05 00 350  2.6  3.1    MM    MM    MM  MM     MM   9.9    MM    MM   MM   MM    MM
2024 10 03 04 00 350  4.1  4.6    MM    MM    MM  MM     MM  10.4    MM    MM   MM   MM    MM
2024 10 03 03 00 360  5.1  6.2    MM    MM    MM  MM     MM  11.2    MM    MM   MM   MM    MM
