#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2024 01 04 15 00 186 13.7 16.5 99.00 99.00 99.00 999 9999.0   9.6 999.0 999.0 99.0 99.00
2024 01 04 16 00 191 11.3 15.3 99.00 99.00 99.00 999 9999.0   9.8 999.0 999.0 99.0 99.00
2024 01 04 17 00 189 12.6 15.1 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2024 01 04 18 00 267  5.0  5.6 99.00 99.00 99.00 999 9999.0  11.4 999.0 999.0 99.0 99.00
2024 01 04 19 00 303  5.0  5.8 99.00 99.00 99.00 999 9999.0  11.0 999.0 999.0 99.0 99.00
2024 01 04 20 00 328  7.2  8.6 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
2024 01 04 21 00 334  7.0  8.0 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2024 01 04 22 00 314  7.2  8.1 99.00 99.00 99.00 999 9999.0   9.6 999.0 999.0 99.0 99.00
2024 01 04 23 00 328  6.0  7.0 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2024 01 05 00 00 331  6.1  7.0 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
2024 01 05 01 00 343  4.0  5.1 99.00 99.00 99.00 999 9999.0  10.5 999.0 999.0 99.0 99.00
2024 01 05 02 00 331  5.2  6.1 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
2024 01 05 03 00 316  6.0  6.8 99.00 99.00 99.00 999 9999.0  10.5 999.0 999.0 99.0 99.00
2024 01 05 04 00 351  3.6  4.2 99.00 99.00 99.00 999 9999.0  10.5 999.0 999.0 99.0 99.00
2024 01 05 05 00  64  1.0  1.5 99.00 99.00 99.00 999 9999.0   7.6 999.0 999.0 99.0 99.00
2024 01 05 06 00  53  1.7  2.1 99.00 99.00 99.00 999 9999.0   6.7 999.0 999.0 99.0 99.00
2024 01 05 07 00  81  1.9  2.1 99.00 99.00 99.00 999 9999.0   5.7 999.0 999.0 99.0 99.00
2024 01 05 08 00  89  2.2  2.5 99.00 99.00 99.00 999 9999.0   5.2 999.0 999.0 99.0 99.00
2024 01 05 09 00  97  1.8  2.1 99.00 99.00 99.00 999 9999.0   4.6 999.0 999.0 99.0 99.00
2024 01 05 10 00  90  1.8  2.1 99.00 99.00 99.00 999 9999.0   4.7 999.0 999.0 99.0 99.00
2024 01 05 11 00  86  1.9  2.2 99.00 99.00 99.00 999 9999.0   5.0 999.0 999.0 99.0 99.00
2024 01 05 12 00  99  2.5  2.9 99.00 99.00 99.00 999 9999.0   5.1 999.0 999.0 99.0 99.00
2024 01 05 13 00 116  1.8  2.5 99.00 99.00 99.00 999 9999.0   5.6 999.0 999.0 99.0 99.00
2024 01 05 14 00 156  2.9  3.4 99.00 99.00 99.00 999 9999.0   6.7 999.0 999.0 99.0 99.00
2024 01 05 15 00 189  6.6  8.1 99.00 99.00 99.00 999 9999.0   8.2 999.0 999.0 99.0 99.00
2024 01 05 16 00 159  0.9  2.1 99.00 99.00 99.00 999 9999.0   8.1 999.0 999.0 99.0 99.00
2024 01 05 17 00 186  5.6  7.5 99.00 99.00 99.00 999 9999.0   9.0 999.0 999.0 99.0 99.00
2024 01 05 18 00 193  5.8  6.8 99.00 99.00 99.00 999 9999.0   9.3 999.0 999.0 99.0 99.00
2024 01 05 19 00 186  5.6  7.1 99.00 99.00 99.00 999 9999.0   9.9 999.0 999.0 99.0 99.00
2024 01 05 20 00 189  5.6  7.0 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
2024 01 05 21 00 199  8.7  9.9 99.00 99.00 99.00 999 9999.0  10.4 999.0 999.0 99.0 99.00
2024 01 05 22 00 193  8.1  9.4 99.00 99.00 99.00 999 9999.0  10.2 999.0 999.0 99.0 99.00
2024 01 05 23 00 201  8.3  9.6 99.00 99.00 99.00 999 9999.0  10.0 999.0 999.0 99.0 99.00
2024 01 06 00 00 189  5.7  6.9 99.00 99.00 99.00 999 9999.0   9.8 999.0 999.0 99.0 99.00
2024 01 06 01 00 171  4.0  5.1 99.00 99.00 99.00 999 9999.0   8.7 999.0 999.0 99.0 99.00
2024 01 06 02 00 188  3.7  4.6 99.00 99.00 99.00 999 9999.0   9.2 999.0 999.0 99.0 99.00
2024 01 06 03 00 203 10.7 12.6 99.00 99.00 99.00 999 9999.0  10.6 999.0 999.0 99.0 99.00
2024 01 06 04 00 190 10.0 11.6 99.00 99.00 99.00 999 9999.0  10.0 999.0 999.0 99.0 99.00
2024 01 06 05 00 190 13.0 15.8 99.00 99.00 99.00 999 9999.0  10.1 999.0 999.0 99.0 99.00
2024 01 06 06 00 193 13.4 15.5 99.00 99.00 99.00 999 9999.0  10.6 999.0 999.0 99.0 99.00
2024 01 06 07 00 194 13.2 16.4 99.00 99.00 99.00 999 9999.0   9.4 999.0 999.0 99.0 99.00
2024 01 06 08 00 200 14.8 17.7 99.00 99.00 99.00 999 9999.0   9.4 999.0 999.0 99.0 99.00
2024 01 06 09 00 226  5.9  7.0 99.00 99.00 99.00 999 9999.0   7.7 999.0 999.0 99.0 99.00
2024 01 06 10 00 218 13.0 14.9 99.00 99.00 99.00 999 9999.0   8.9 999.0 999.0 99.0 99.00
2024 01 06 11 00 279 11.4 13.5 99.00 99.00 99.00 999 9999.0   8.9 999.0 999.0 99.0 99.00
2024 01 06 12 00 309  8.0  9.5 99.00 99.00 99.00 999 9999.0   8.2 999.0 999.0 99.0 99.00
2024 01 06 13 00 316 12.8 14.7 99.00 99.00 99.00 999 9999.0   9.5 999.0 999.0 99.0 99.00
2024 01 06 14 00 326 10.7 11.9 99.00 99.00 99.00 999 9999.0   8.3 999.0 999.0 99.0 99.00
2024 01 06 15 00 318 11.0 12.9 99.00 99.00 99.00 999 9999.0   9.1 999.0 999.0 99.0 99.00
2024 01 06 16 00 313 10.6 11.8 99.00 99.00 99.00 999 9999.0   8.8 999.0 999.0 99.0 99.00
2024 01 06 17 00 316 11.1 12.3 99.00 99.00 99.00 999 9999.0   8.9 999.0 999.0 99.0 99.00
2024 01 06 18 00 317 11.7 13.0 99.00 99.00 99.00 999 9999.0   8.6 999.0 999.0 99.0 99.00
2024 01 06 19 00 296 10.2 12.3 99.00 99.00 99.00 999 9999.0   9.0 999.0 999.0 99.0 99.00
2024 01 06 20 00 296  8.9 10.3 99.00 99.00 99.00 999 9999.0   8.6 999.0 999.0 99.0 99.00
2024 01 06 21 00 286  7.7  9.4 99.00 99.00 99.00 999 9999.0   7.7 999.0 999.0 99.0 99.00
2024 01 06 22 00 291  9.5 11.6 99.00 99.00 99.00 999 9999.0   8.1 999.0 999.0 99.0 99.00
2024 01 06 23 00 297  8.4 11.1 99.00 99.00 99.00 999 9999.0   8.5 999.0 999.0 99.0 99.00
2024 01 07 00 00 329  9.8 11.0 99.00 99.00 99.00 999 9999.0   8.3 999.0 999.0 99.0 99.00
2024 01 07 01 00 324  8.3  9.2 99.00 99.00 99.00 999 9999.0   7.5 999.0 999.0 99.0 99.00
2024 01 07 02 00 321 10.7 12.6 99.00 99.00 99.00 999 9999.0   9.5 999.0 999.0 99.0 99.00
2024 01 07 03 00 310 10.3 12.1 99.00 99.00 99.00 999 9999.0   9.1 999.0 999.0 99.0 99.00
2024 01 07 04 00 308  8.8 10.7 99.00 99.00 99.00 999 9999.0   8.4 999.0 999.0 99.0 99.00
